artist_id,year,best_rank,avg_rank,days_on_chart
aespa,2022,150,150.0,1
aespa,2023,128,164.8,6
aespa,2024,55,148.0,117
aespa,2025,156,182.4,8
ateez,2023,168,168.0,1
blackpink,2021,96,119.8,72
blackpink,2022,2,106.4,365
blackpink,2023,42,81.1,365
blackpink,2024,114,171.2,208
blackpink,2025,39,130.0,147
blackpink,2026,18,146.0,49
bts,2021,3,5.9,72
bts,2022,2,5.9,365
bts,2023,6,24.8,365
bts,2024,34,55.1,366
bts,2025,8,57.9,365
bts,2026,1,17.5,139
enhypen,2021,200,200.0,1
enhypen,2022,101,164.7,13
enhypen,2023,73,150.3,22
enhypen,2024,53,164.5,46
enhypen,2025,44,167.3,54
enhypen,2026,43,145.6,52
ive,2022,179,188.0,2
ive,2023,94,162.4,20
jennie,2023,134,187.5,18
jennie,2024,86,161.5,148
jennie,2025,10,113.6,337
jennie,2026,82,119.2,139
jimin,2022,176,185.5,2
jimin,2023,18,117.2,205
jimin,2024,10,81.4,208
jimin,2025,70,143.0,165
jisoo,2023,94,150.2,5
le_sserafim,2022,168,186.0,3
le_sserafim,2023,73,149.9,13
le_sserafim,2024,78,141.1,111
le_sserafim,2025,108,155.0,43
le_sserafim,2026,119,172.2,8
lisa,2021,52,110.3,43
lisa,2024,71,146.9,66
lisa,2025,21,133.9,47
nayeon,2022,122,122.0,1
nct_127,2021,200,200.0,1
nct_127,2022,194,194.0,1
nct_dream,2022,120,161.8,5
nct_dream,2023,191,192.0,2
newjeans,2022,117,148.8,13
newjeans,2023,8,90.8,323
newjeans,2024,84,150.9,275
newjeans,2025,193,196.0,2
red_velvet,2022,123,155.6,5
red_velvet,2023,152,158.0,2
seventeen,2021,109,148.7,6
seventeen,2022,83,166.0,108
seventeen,2023,69,160.1,124
seventeen,2024,68,161.9,82
seventeen,2025,59,146.3,21
stray_kids,2021,105,166.0,39
stray_kids,2022,20,138.8,314
stray_kids,2023,12,106.8,365
stray_kids,2024,23,114.4,366
stray_kids,2025,8,87.9,365
stray_kids,2026,52,91.1,139
twice,2021,32,88.6,72
twice,2022,45,126.1,364
twice,2023,60,151.6,246
twice,2024,92,164.2,86
twice,2025,37,121.1,185
twice,2026,157,180.7,30
txt,2022,42,143.2,20
txt,2023,45,149.4,53
txt,2024,71,148.2,19
txt,2025,99,132.2,4
txt,2026,170,170.0,1
