artist_id,album_name,best_global_rank,max_weeks_on_chart,release_date,entry_date,label,year
aespa,Girls - The 2nd Mini Album,78,3,2022-07-08,2022-07-14,SM Entertainment / Warner Records,2022
aespa,Drama - The 4th Mini Album,122,1,2023-11-10,2023-11-16,SM Entertainment / Warner Records,2023
aespa,Armageddon - The 1st Album,32,8,2024-05-27,2024-05-30,SM Entertainment,2024
ateez,THE WORLD EP.FIN : WILL,193,1,2023-12-01,2023-12-07,KQ Entertainment,2023
blackpink,THE ALBUM,2,104,2020-10-02,2020-10-15,Universal Music LLC,2020
blackpink,BORN PINK,2,61,2022-09-16,2022-09-22,YG Entertainment/Interscope Records,2022
bts,The Most Beautiful Moment in Life: Young Forever,67,32,2016-05-02,2020-10-15,BIGHIT MUSIC / HYBE,2016
bts,Young Forever,185,2,2016-05-02,2020-10-15,Universal Music LLC,2016
bts,You Never Walk Alone,119,24,2017-02-13,2020-10-22,Universal Music LLC,2017
bts,Love Yourself 承 'Her',141,2,2017-09-18,2021-05-27,BIGHIT MUSIC / HYBE,2017
bts,Love Yourself 轉 'Tear',85,86,2018-05-18,2020-10-15,BIGHIT MUSIC / HYBE,2018
bts,Love Yourself 結 'Answer',13,170,2018-08-24,2020-10-15,BIGHIT MUSIC / HYBE,2018
bts,MAP OF THE SOUL : PERSONA,72,50,2019-04-12,2020-10-15,BIGHIT MUSIC / HYBE,2019
bts,MAP OF THE SOUL : 7,13,136,2020-02-21,2020-10-15,BIGHIT MUSIC / HYBE,2020
bts,BE,1,94,2020-11-20,2020-11-26,BIGHIT MUSIC / HYBE,2020
bts,Proof,2,207,2022-06-10,2022-06-16,BIGHIT MUSIC,2022
bts,PERMISSION TO DANCE ON STAGE - LIVE,18,2,2025-07-18,2025-07-24,BIGHIT MUSIC,2025
bts,ARIRANG,1,10,2026-03-20,2026-03-26,BIGHIT MUSIC,2026
bts,KEEP SWIMMING,7,9,2026-03-27,2026-04-02,BIGHIT MUSIC,2026
enhypen,DIMENSION : DILEMMA,106,11,2021-10-12,2021-10-14,BELIFT LAB,2021
enhypen,DIMENSION : ANSWER,111,1,2022-01-10,2022-01-13,BELIFT LAB,2022
enhypen,ORANGE BLOOD,147,1,2023-11-17,2023-11-23,BELIFT LAB,2023
enhypen,ROMANCE : UNTOLD,47,4,2024-07-12,2024-07-18,BELIFT LAB,2024
enhypen,DESIRE : UNLEASH,72,1,2025-06-05,2025-06-12,BELIFT LAB,2025
enhypen,THE SIN : VANISH,34,2,2026-01-16,2026-01-22,BELIFT LAB,2026
itzy,CRAZY IN LOVE,89,2,2021-09-24,2021-09-30,JYP Entertainment,2021
ive,I've IVE,52,8,2023-04-10,2023-04-13,Starship Entertainment,2023
jennie,Ruby,3,64,2025-03-07,2025-03-13,OA Entertainment/Columbia,2025
jihyo,ZONE,198,1,2023-08-18,2023-08-24,Republic Records – JIHYO (TWICE),2023
le_sserafim,UNFORGIVEN,32,21,2023-05-01,2023-05-04,SOURCE MUSIC,2023
le_sserafim,SPAGHETTI,88,4,2025-10-24,2025-10-30,SOURCE MUSIC,2025
le_sserafim,"'PUREFLOW', Pt. 1",143,1,2026-05-22,2026-05-28,SOURCE MUSIC,2026
nayeon,IM NAYEON,51,5,2022-06-24,2022-06-30,Republic Records – NAYEON (TWICE),2022
nct_127,Sticker - The 3rd Album,69,1,2021-09-17,2021-09-23,SM Entertainment,2021
nct_127,2 Baddies - The 4th Album,191,1,2022-09-16,2022-09-22,SM Entertainment,2022
nct_dream,Hot Sauce - The 1st Album,126,2,2021-05-10,2021-05-13,SM Entertainment,2021
nct_dream,Hello Future - The 1st Album Repackage,173,2,2021-06-28,2021-07-01,SM Entertainment,2021
nct_dream,Glitch Mode - The 2nd Album,178,1,2022-03-28,2022-03-31,SM Entertainment,2022
nct_dream,Beatbox - The 2nd Album Repackage,188,1,2022-05-30,2022-06-02,SM Entertainment,2022
seventeen,SEVENTEEN 9th Mini Album 'Attacca',82,1,2021-10-22,2021-10-28,PLEDIS Entertainment,2021
seventeen,SEVENTEEN 4th Album 'Face the Sun',56,2,2022-05-27,2022-06-02,PLEDIS Entertainment,2022
seventeen,SEVENTEEN 4th Album Repackage 'SECTOR 17',126,7,2022-07-18,2022-07-21,PLEDIS Entertainment,2022
seventeen,SEVENTEEN 11th Mini Album 'SEVENTEENTH HEAVEN',155,1,2023-10-23,2023-10-26,PLEDIS Entertainment,2023
seventeen,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',51,12,2024-04-29,2024-05-02,PLEDIS Entertainment,2024
seventeen,SEVENTEEN 5th Album 'HAPPY BURSTDAY',83,3,2025-05-26,2025-05-29,PLEDIS Entertainment,2025
stray_kids,IN LIFE,183,2,2020-09-14,2020-10-15,Sony Music Labels Inc.,2020
stray_kids,NOEASY,25,9,2021-08-23,2021-08-26,JYP Entertainment,2021
stray_kids,ODDINARY,18,5,2022-03-18,2022-03-24,Republic Records - Stray Kids,2022
stray_kids,MAXIDENT,29,3,2022-10-07,2022-10-13,Republic Records - Stray Kids,2022
stray_kids,SKZ-REPLAY,89,3,2022-12-21,2022-12-22,Republic Records - Stray Kids,2022
stray_kids,5-STAR,10,12,2023-06-02,2023-06-08,Republic Records - Stray Kids,2023
stray_kids,ROCK-STAR,20,3,2023-11-10,2023-11-16,Republic Records - Stray Kids,2023
stray_kids,ATE,13,9,2024-07-19,2024-07-25,Republic Records - Stray Kids,2024
stray_kids,HOP,35,4,2024-12-13,2024-12-19,Republic Records - Stray Kids,2024
stray_kids,KARMA,9,4,2025-08-22,2025-08-28,Republic Records - Stray Kids,2025
twice,Eyes Wide Open,52,6,2020-10-26,2020-10-29,Republic Records - TWICE,2020
twice,Eyes wide open,58,1,2020-10-26,2020-10-29,WM Japan,2020
twice,Formula of Love: O+T=<3,15,17,2021-11-12,2021-11-18,Republic Records - TWICE,2021
twice,BETWEEN 1&2,41,4,2022-08-26,2022-09-01,Republic Records - TWICE,2022
